country,year,hours,daily_spread_avg,total_arbitrage_profit,cycles,avg_sell_price,avg_buy_price,Cost €/MW
United Kingdom,2022,12,81.99,212924.63,188.1,316.72,-178.39,0
United Kingdom,2023,12,37.57,94386.0,182.35,138.72,-76.68,0
United Kingdom,2024,12,32.02,89480.17,180.47,112.53,-57.13,0
United Kingdom,2019,13,14.44,35188.95,179.57,62.09,-37.72,0
United Kingdom,2020,13,15.91,49646.54,189.49,53.37,-26.64,0
United Kingdom,2021,13,50.97,158694.53,169.64,196.77,-100.14,0
United Kingdom,2022,13,75.29,216655.67,174.92,317.25,-178.09,0
United Kingdom,2023,13,34.49,95614.88,169.08,138.89,-76.54,0
United Kingdom,2024,13,29.41,90962.42,167.52,112.79,-56.99,0
United Kingdom,2019,14,13.19,35357.91,166.89,62.12,-37.7,0
United Kingdom,2020,14,14.54,49993.51,176.39,53.45,-26.64,0
United Kingdom,2021,14,46.72,159851.21,157.91,197.13,-100.18,0
United Kingdom,2022,14,68.71,219992.55,163.6,317.47,-177.68,0
United Kingdom,2023,14,31.52,96692.39,157.54,139.01,-76.38,0
United Kingdom,2024,14,26.87,92308.0,156.56,112.92,-56.83,0
United Kingdom,2019,15,11.97,35512.65,156.23,62.1,-37.68,0
United Kingdom,2020,15,13.22,50299.47,165.27,53.52,-26.66,0
United Kingdom,2021,15,42.59,160930.82,147.96,197.55,-100.37,0
United Kingdom,2022,15,62.22,223120.91,153.61,317.92,-177.45,0
United Kingdom,2023,15,28.58,97623.13,147.65,139.17,-76.33,0
United Kingdom,2024,15,24.4,93513.81,146.46,113.16,-56.67,0
United Kingdom,2019,16,10.74,35656.57,146.61,62.13,-37.67,0
United Kingdom,2020,16,11.89,50574.22,155.21,53.56,-26.64,0
United Kingdom,2021,16,38.54,161878.95,139.36,197.78,-100.51,0
United Kingdom,2022,16,55.81,226055.58,144.66,318.23,-177.06,0
United Kingdom,2023,16,25.6,98446.45,138.9,139.34,-76.31,0
United Kingdom,2024,16,21.95,94608.16,137.46,113.28,-56.42,0
