Region,Year,Quarter,System duration (hrs),daily_spread_avg,Total arbitrage profit ($/MW/yr),Cycles (full cycle equivalents),Avg sell price ($/MWh),Avg purchase price ($/MWh),Cost €/MW
VIC1,2024,Q4,2,234.04,235977.72,481.47,59.58,-1.6,0
VIC1,2025,Q1,2,216.17,213533.52,437.2,78.67,16.74,0
VIC1,2025,Q2,2,512.51,470442.08,407.69,206.81,59.44,0
VIC1,2025,Q3,2,203.48,224202.36,449.29,99.99,35.74,0
VIC1,2025,Q4,2,157.06,153486.08,526.12,42.34,5.57,0
VIC1,2026,Q1,2,128.06,123350.64,444.35,52.05,16.48,0
VIC1,2026,Q2,2,97.62,63485.92,295.74,55.75,27.47,0
VIC1,2024,Q1,3,295.16,496582.2,332.08,115.5,-8.65,0
VIC1,2024,Q2,3,208.55,457275.76,328.43,186.73,67.17,0
VIC1,2024,Q3,3,355.92,546722.72,328.56,170.88,30.6,0
VIC1,2024,Q4,3,211.15,288275.12,325.8,69.36,-4.16,0
VIC1,2025,Q1,3,193.94,259408.32,300.96,87.42,14.81,0
VIC1,2025,Q2,3,461.16,585729.88,288.39,227.46,55.3,0
VIC1,2025,Q3,3,189.05,278392.24,310.35,109.3,32.82,0
VIC1,2025,Q4,3,146.73,192390.6,351.53,49.0,3.22,0
VIC1,2026,Q1,3,116.45,152285.56,305.05,57.92,15.5,0
VIC1,2026,Q2,3,91.05,79741.0,201.14,60.98,26.55,0
VIC1,2024,Q1,4,249.31,503576.0,250.43,116.11,-9.08,0
VIC1,2024,Q2,4,192.62,463962.2,247.11,187.59,66.73,0
VIC1,2024,Q3,4,311.21,574759.64,250.03,174.98,29.74,0
VIC1,2024,Q4,4,195.1,333212.16,244.81,77.88,-6.83,0
VIC1,2025,Q1,4,178.01,296554.0,230.68,93.77,12.75,0
VIC1,2025,Q2,4,400.57,646672.0,224.82,234.62,52.11,0
VIC1,2025,Q3,4,176.63,319178.64,238.91,115.95,30.83,0
VIC1,2025,Q4,4,138.82,227438.28,264.12,54.86,0.99,0
VIC1,2026,Q1,4,108.11,176108.68,232.82,62.32,14.29,0
VIC1,2026,Q2,4,86.01,93707.64,152.88,65.09,25.44,0
VIC1,2024,Q1,5,218.87,508217.16,200.72,116.68,-9.42,0
VIC1,2024,Q2,5,178.93,468842.88,198.16,188.29,66.49,0
VIC1,2024,Q3,5,276.04,595422.04,201.15,178.3,28.78,0
VIC1,2024,Q4,5,182.61,372831.08,196.52,85.08,-9.29,0
VIC1,2025,Q1,5,165.43,327869.48,186.28,98.98,10.43,0
VIC1,2025,Q2,5,346.16,680280.32,184.04,238.15,50.67,0
VIC1,2025,Q3,5,165.3,350471.68,195.24,120.41,29.13,0
VIC1,2025,Q4,5,131.9,258733.28,212.19,60.12,-0.8,0
VIC1,2026,Q1,5,100.91,196321.28,189.43,65.62,13.11,0
VIC1,2026,Q2,5,81.39,105649.84,124.16,68.35,24.51,0
VIC1,2024,Q1,6,196.38,511671.88,167.57,117.08,-9.63,0
VIC1,2024,Q2,6,166.41,472878.72,165.3,188.79,66.12,0
VIC1,2024,Q3,6,247.3,610805.56,168.74,180.55,28.24,0
VIC1,2024,Q4,6,172.05,407590.52,164.56,90.94,-11.65,0
VIC1,2025,Q1,6,154.58,353656.16,155.72,103.54,8.46,0
VIC1,2025,Q2,6,304.68,702710.68,156.28,239.59,49.62,0
VIC1,2025,Q3,6,154.89,373269.0,165.67,123.44,28.08,0
VIC1,2025,Q4,6,125.31,286224.28,177.16,64.44,-2.72,0
VIC1,2026,Q1,6,94.57,213514.76,160.05,68.33,12.1,0
VIC1,2026,Q2,6,76.94,115446.24,105.24,70.59,23.64,0
VIC1,2024,Q1,7,178.22,514454.92,143.8,117.37,-9.88,0
VIC1,2024,Q2,7,154.63,476445.84,142.11,189.08,65.88,0
VIC1,2024,Q3,7,223.95,622449.16,145.72,181.76,27.74,0
VIC1,2024,Q4,7,162.31,437017.92,140.84,96.25,-13.82,0
VIC1,2025,Q1,7,144.51,374373.28,134.08,106.66,6.59,0
